[    1377ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:7201/@fs/Users/bytedance/Documents/upc/draw_xcl/drawnix/node_modules/.vite/apps/web/deps/react-dom_client.js?v=b8dcd0b8:20102
[    1526ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://127.0.0.1:7201/favicon.ico:0
[  109003ms] [LOG] [vite] server connection lost. Polling for restart... @ http://127.0.0.1:7201/@vite/client:917
[  109004ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  110006ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  111008ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  112011ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  113013ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  114016ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  115019ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  116022ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  117026ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  118030ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  119036ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  120045ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
[  121054ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:7201/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:7201/@vite/client:991
